date,commodity,contract,settlement_eur
2009-04-28,ele,CAL10,49.9
2009-04-29,ele,CAL10,50.15
2009-05-03,ele,CAL10,52.0
2009-05-04,ele,CAL10,52.2
2009-05-05,ele,CAL10,52.2
2009-05-06,ele,CAL10,53.25
2009-05-10,ele,CAL10,52.5
2009-05-11,ele,CAL10,52.8
2009-05-12,ele,CAL10,51.55
2009-05-13,ele,CAL10,50.7
2009-05-14,ele,CAL10,51.15
2009-05-17,ele,CAL10,51.45
2009-05-18,ele,CAL10,52.45
2009-05-19,ele,CAL10,52.7
2009-05-20,ele,CAL10,52.25
2009-05-21,ele,CAL10,52.4
2009-05-24,ele,CAL10,51.95
2009-05-25,ele,CAL10,51.25
2009-05-26,ele,CAL10,52.5
2009-05-27,ele,CAL10,52.5
2009-05-28,ele,CAL10,52.65
2009-05-31,ele,CAL10,53.2
2009-06-01,ele,CAL10,52.5
2009-06-02,ele,CAL10,51.9
2009-06-03,ele,CAL10,51.9
2009-06-04,ele,CAL10,52.25
2009-06-07,ele,CAL10,51.5
2009-06-08,ele,CAL10,51.8
2009-06-09,ele,CAL10,52.0
2009-06-10,ele,CAL10,51.65
2009-06-11,ele,CAL10,51.1
2009-06-14,ele,CAL10,50.5
2009-06-15,ele,CAL10,50.6
2009-06-16,ele,CAL10,49.05
2009-06-17,ele,CAL10,49.25
2009-06-18,ele,CAL10,49.25
2009-06-21,ele,CAL10,48.4
2009-06-22,ele,CAL10,48.35
2009-06-23,ele,CAL10,48.3
2009-06-24,ele,CAL10,48.5
2009-06-25,ele,CAL10,48.9
2009-06-28,ele,CAL10,48.7
2009-06-29,ele,CAL10,48.7
2009-06-30,ele,CAL10,48.1
2009-07-01,ele,CAL10,47.0
2009-07-02,ele,CAL10,47.0
2009-07-06,ele,CAL10,47.2
2009-07-07,ele,CAL10,47.2
2009-07-08,ele,CAL10,47.73
2009-07-09,ele,CAL10,47.73
2009-07-12,ele,CAL10,47.8
2009-07-13,ele,CAL10,48.3
2009-07-14,ele,CAL10,47.75
2009-07-15,ele,CAL10,47.3
2009-07-16,ele,CAL10,46.9
2009-07-19,ele,CAL10,47.25
2009-07-20,ele,CAL10,46.9
2009-07-21,ele,CAL10,46.4
2009-07-22,ele,CAL10,46.1
2009-07-23,ele,CAL10,46.55
2009-07-26,ele,CAL10,46.55
2009-07-27,ele,CAL10,45.9
2009-07-28,ele,CAL10,46.1
2009-07-29,ele,CAL10,46.3
2009-07-30,ele,CAL10,46.5
2009-08-02,ele,CAL10,46.65
2009-08-03,ele,CAL10,47.0
2009-08-04,ele,CAL10,47.5
2009-08-05,ele,CAL10,47.9
2009-08-06,ele,CAL10,47.8
2009-08-09,ele,CAL10,47.65
2009-08-10,ele,CAL10,47.3
2009-08-11,ele,CAL10,47.3
2009-08-12,ele,CAL10,48.0
2009-08-13,ele,CAL10,48.4
2009-08-16,ele,CAL10,48.4
2009-08-17,ele,CAL10,48.25
2009-08-18,ele,CAL10,48.25
2009-08-19,ele,CAL10,48.25
2009-08-20,ele,CAL10,48.4
2009-08-23,ele,CAL10,48.6
2009-08-24,ele,CAL10,48.15
2009-08-25,ele,CAL10,47.95
2009-08-26,ele,CAL10,47.4
2009-08-27,ele,CAL10,47.4
2009-08-30,ele,CAL10,47.1
2009-08-31,ele,CAL10,46.95
2009-09-01,ele,CAL10,46.65
2009-09-02,ele,CAL10,47.0
2009-09-03,ele,CAL10,46.45
2009-09-06,ele,CAL10,46.25
2009-09-07,ele,CAL10,46.6
2009-09-08,ele,CAL10,46.5
2009-09-09,ele,CAL10,46.2
2009-09-10,ele,CAL10,46.2
2009-09-13,ele,CAL10,45.35
2009-09-14,ele,CAL10,45.35
2009-09-15,ele,CAL10,45.6
2009-09-16,ele,CAL10,45.15
2009-09-17,ele,CAL10,45.02
2009-09-20,ele,CAL10,44.8
2009-09-21,ele,CAL10,45.0
2009-09-22,ele,CAL10,44.55
2009-09-23,ele,CAL10,43.7
2009-09-24,ele,CAL10,43.7
2009-09-28,ele,CAL10,43.8
2009-09-29,ele,CAL10,44.15
2009-09-30,ele,CAL10,44.15
2009-10-01,ele,CAL10,43.8
2009-10-04,ele,CAL10,44.0
2009-10-05,ele,CAL10,44.75
2009-10-06,ele,CAL10,45.1
2009-10-07,ele,CAL10,45.05
2009-10-08,ele,CAL10,44.8
2009-10-11,ele,CAL10,45.3
2009-10-12,ele,CAL10,45.3
2009-10-13,ele,CAL10,45.1
2009-10-14,ele,CAL10,44.6
2009-10-15,ele,CAL10,44.75
2009-10-18,ele,CAL10,45.0
2009-10-19,ele,CAL10,45.75
2009-10-20,ele,CAL10,46.35
2009-10-21,ele,CAL10,46.7
2009-10-22,ele,CAL10,46.6
2009-10-25,ele,CAL10,46.35
2009-10-26,ele,CAL10,45.85
2009-10-28,ele,CAL10,46.05
2009-10-29,ele,CAL10,46.05
2009-11-01,ele,CAL10,45.9
2009-11-02,ele,CAL10,45.7
2009-11-03,ele,CAL10,45.1
2009-11-04,ele,CAL10,44.85
2009-11-05,ele,CAL10,44.65
2009-11-08,ele,CAL10,43.9
2009-11-09,ele,CAL10,43.95
2009-11-10,ele,CAL10,44.4
2009-11-11,ele,CAL10,43.95
2009-11-12,ele,CAL10,43.45
2009-11-15,ele,CAL10,44.2
2009-11-17,ele,CAL10,44.3
2009-11-18,ele,CAL10,43.6
2009-11-19,ele,CAL10,43.25
2009-11-22,ele,CAL10,42.8
2009-11-23,ele,CAL10,41.75
2009-11-24,ele,CAL10,42.3
2009-11-25,ele,CAL10,42.2
2009-11-26,ele,CAL10,41.5
2009-11-29,ele,CAL10,41.05
2009-12-10,ele,CAL10,42.35
2009-12-13,ele,CAL10,42.35
2009-12-14,ele,CAL10,42.95
2009-12-15,ele,CAL10,42.65
2009-12-16,ele,CAL10,42.0
2009-12-17,ele,CAL10,42.6
2009-12-20,ele,CAL10,42.45
2009-12-21,ele,CAL10,43.0
2009-12-22,ele,CAL10,43.1
2009-12-27,ele,CAL10,43.2
2009-12-28,ele,CAL10,42.7
2009-12-29,ele,CAL10,42.85
2009-12-30,ele,CAL10,49.8
2010-01-03,ele,CAL11,50.85
2010-01-04,ele,CAL11,50.45
2010-01-05,ele,CAL11,49.6
2010-01-06,ele,CAL11,49.9
2010-01-07,ele,CAL11,49.65
2010-01-10,ele,CAL11,49.25
2010-01-11,ele,CAL11,48.25
2010-01-12,ele,CAL11,47.65
2010-01-13,ele,CAL11,48.1
2010-01-14,ele,CAL11,47.55
2010-01-17,ele,CAL11,47.0
2010-01-18,ele,CAL11,47.25
2010-01-19,ele,CAL11,47.0
2010-01-20,ele,CAL11,47.0
2010-01-21,ele,CAL11,46.55
2010-01-24,ele,CAL11,46.85
2010-01-25,ele,CAL11,46.65
2010-01-26,ele,CAL11,47.45
2010-01-27,ele,CAL11,47.35
2010-01-28,ele,CAL11,47.0
2010-01-31,ele,CAL11,46.5
2010-02-01,ele,CAL11,45.9
2010-02-02,ele,CAL11,46.15
2010-02-03,ele,CAL11,45.75
2010-02-04,ele,CAL11,45.8
2010-02-07,ele,CAL11,45.6
2010-02-08,ele,CAL11,46.2
2010-02-09,ele,CAL11,46.2
2010-02-10,ele,CAL11,45.65
2010-02-11,ele,CAL11,45.25
2010-02-15,ele,CAL11,45.75
2010-02-16,ele,CAL11,46.0
2010-02-17,ele,CAL11,45.75
2010-02-18,ele,CAL11,45.6
2010-02-21,ele,CAL11,45.35
